Departamento,Actividad,Duración,Precio,Calificación,Reseñas,Enlace
Amazonas,"Manaos: Tour de 2, 3 o 4 días por la selva amazónica en el Anaconda Lodge",2 - 4 días • Grupo privado • Recogida disponible,200 USD,3.9,(613),https://www.getyourguide.es/manaos-l917/manaos-tour-de-2-3-o-4-dias-por-la-selva-amazonica-en-el-anaconda-lodge-t20181/?ranking_uuid=c3c0f5f9-923b-4662-9e1c-a3576bd18426
Amazonas,Selva Amazónica: Excursión de 3 ó 4 días en Ipanema River Guest House,2 - 4 días • Grupo reducido • Recogida disponible,180 USD,4.1,(180),https://www.getyourguide.es/manaos-l917/excursion-de-4-dias-por-la-selva-amazonica-alojandote-en-casas-de-huespedes-del-rio-juma-t208404/?ranking_uuid=c3c0f5f9-923b-4662-9e1c-a3576bd18426
Amazonas,Iquitos: aventura de 2 días en la selva amazónica con alojamiento en lodge,2 días • Grupo reducido,347 USD,3.7,,https://www.getyourguide.es/iquitos-l32156/iquitos-aventura-de-2-dias-en-la-selva-amazonica-con-alojamiento-en-lodge-t995295/?ranking_uuid=c3c0f5f9-923b-4662-9e1c-a3576bd18426
Amazonas,"Manaos: tour de 2, 3 o 4 días",2 - 4 días • Grupo reducido,220 USD,4.8,(33),https://www.getyourguide.es/manaos-l917/selva-amazonica-excursion-completa-de-2-3-o-4-dias-t712068/?ranking_uuid=c3c0f5f9-923b-4662-9e1c-a3576bd18426
Amazonas,Manaos: Tour de día completo por el río Amazonas,1 día • Recogida disponible,55 USD,4.1,(288),https://www.getyourguide.es/manaos-l917/tour-de-dia-completo-por-el-rio-amazonas-desde-manaos-t20175/?ranking_uuid=c3c0f5f9-923b-4662-9e1c-a3576bd18426
Amazonas,"Desde Manaos: tour de 3, 4 o 5 días en el Tapiri Anavilhanas Lodge.",3 - 5 días • Grupo reducido • Recogida disponible,680 USD,4.8,(57),https://www.getyourguide.es/manaos-l917/desde-manaos-tour-de-3-4-o-5-dias-en-el-tapiri-anavilhanas-lodge-t258237/?ranking_uuid=c3c0f5f9-923b-4662-9e1c-a3576bd18426
Amazonas,Desde Manaus: Excursión de un día a las Cascadas Presidente Figueiredo,12 horas • Recogida disponible,90 USD,4.2,(107),https://www.getyourguide.es/manaos-l917/desde-manaus-excursion-de-un-dia-a-las-cascadas-presidente-figueiredo-t226975/?ranking_uuid=c3c0f5f9-923b-4662-9e1c-a3576bd18426
Amazonas,Manaos: Selva amazónica y caminata por el archipiélago de Anavilhanas,8 horas • Grupo reducido • Recogida disponible,132 USD,4.6,(55),https://www.getyourguide.es/manaos-l917/manaos-trekking-por-la-selva-amazonica-y-archipielago-de-anavilhanas-t74650/?ranking_uuid=c3c0f5f9-923b-4662-9e1c-a3576bd18426
Amazonas,Desde Manaus: Crucero de 3 ó 4 días por el río Negro y Anavilhanas,3 - 4 días • Grupo reducido • Recogida disponible,600 USD,4.6,(28),https://www.getyourguide.es/manaos-l917/crucero-de-4-dias-por-el-rio-negro-t208722/?ranking_uuid=c3c0f5f9-923b-4662-9e1c-a3576bd18426
Amazonas,De Manaus a Santarém: 36 horas de ferry por el Amazonas,"1,5 días • Recogida disponible",140 USD,3.9,(39),https://www.getyourguide.es/manaos-l917/de-manaus-a-santarem-36-horas-de-ferry-por-el-amazonas-t290270/?ranking_uuid=c3c0f5f9-923b-4662-9e1c-a3576bd18426
Amazonas,Manaos: Excursión nocturna de pesca de pirañas y observación de caimanes,5 horas • Grupo reducido • Recogida disponible,90 USD,4.5,(48),https://www.getyourguide.es/manaos-l917/observacion-de-caimanes-en-manaos-t31109/?ranking_uuid=c3c0f5f9-923b-4662-9e1c-a3576bd18426
Amazonas,Desde Manaus: Excursión de 2 días a la Selva Amazónica y al Lago de Ipanema,2 días • Grupo reducido • Recogida disponible,180 USD,5,(2),https://www.getyourguide.es/manaos-l917/desde-manaus-excursion-de-2-dias-a-la-selva-amazonica-y-al-lago-de-ipanema-t418020/?ranking_uuid=c3c0f5f9-923b-4662-9e1c-a3576bd18426
Amazonas,Desde la Terminal de Cruceros de Manaos Lo más destacado de la selva amazónica,1 día • Grupo reducido • Recogida disponible,150 USD,4.1,,https://www.getyourguide.es/manaos-l917/desde-la-terminal-de-cruceros-de-manaos-lo-mas-destacado-de-la-selva-amazonica-t267892/?ranking_uuid=c3c0f5f9-923b-4662-9e1c-a3576bd18426
Amazonas,Desde Manaus Excursión de un día entero al Ritual de la Tribu de las Hormigas de Tucandeira,6 horas • Grupo reducido • Recogida disponible,300 USD,5,(2),https://www.getyourguide.es/manaos-l917/ritual-de-las-hormigas-tucandeiras-t202240/?ranking_uuid=c3c0f5f9-923b-4662-9e1c-a3576bd18426
Amazonas,Manaos: Tour a pie de medio día por la selva amazónica,4 horas • Grupo reducido • Recogida disponible,150 USD,4.9,(11),https://www.getyourguide.es/manaos-l917/tour-a-pie-de-4-horas-por-la-selva-amazonica-t74652/?ranking_uuid=c3c0f5f9-923b-4662-9e1c-a3576bd18426
Amazonas,Actividad de escalada de árboles de 3 horas en la selva amazónica,3 horas • Grupo reducido • Recogida disponible,170 USD,4.6,(5),https://www.getyourguide.es/manaos-l917/trepar-a-los-arboles-en-la-selva-amazonica-t85566/?ranking_uuid=c3c0f5f9-923b-4662-9e1c-a3576bd18426
